trip_trip_id,trip_route_id,trip_direction_id,trip_start_time,trip_start_date,trip_schedule_relationship,vehicle_id,vehicle_label,vehicle_license_plate,vehicle_wheelchair_accessible,position_latitude,position_longitude,position_bearing,position_odometer,position_speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status,occupancy_percentage,multi_carriage_details
VJ9b7d60b3fa141bb5578920fe54ffe01d70de1fcc,5115,0,14:20:00,20240210,0,FBRI-63194,,,0,51.456993103027344,-2.5855159759521484,156.0,0.0,0.0,33,,2,1707579139,0,0,0,
,,0,,,0,543_-_YX23_OTE,,,0,52.67853546142578,-2.0339250564575195,359.0,0.0,0.0,0,,2,1707523489,0,0,0,
VJb9455462b8f52fea0f0117fee8567d8e7d5a4f58,4799,0,14:27:00,20240210,0,FBRI-67105,,,0,51.377281188964844,-2.365365982055664,76.0,0.0,0.0,57,,2,1707579166,0,0,0,
VJfb3b550cd369736bd0651df518cc5188e668d1c9,5602,0,15:01:00,20240210,0,FMAN-SN12AGY,,,0,53.54361343383789,-2.1189799308776855,171.0,0.0,0.0,26,,2,1707579168,0,0,0,
VJd7939512fcf7fb086039b871248b04873a946712,4919,0,15:22:00,20240210,0,FMAN-SN12AHG,,,0,53.48384094238281,-2.232150077819824,51.0,0.0,0.0,2,,2,1707579146,0,0,0,
,,0,,,0,525,,,0,53.25934600830078,-1.913053035736084,359.0,0.0,0.0,0,,2,1707463303,0,0,0,
,,0,,,0,154_-_MX60_GXC,,,0,53.09823226928711,-2.4446399211883545,359.0,0.0,0.0,0,,2,1707463621,0,0,0,
,,0,,,0,DE503_-_LJ09_OLU,,,0,51.29823303222656,0.4305010139942169,101.0,0.0,0.0,0,,2,1707496395,0,0,0,
,,0,,,0,FBRI-1_Spare_MSH,,,0,51.451881408691406,-2.5955851078033447,359.0,0.0,0.0,0,,2,1707461456,0,0,0,
VJ7ee1fa11b407bb415f445d84c92def994a85642d,12891,0,14:55:00,20240210,0,FMAN-SN12AHP,,,0,53.53312301635742,-2.000535011291504,293.0,0.0,0.0,37,,2,1707579161,0,0,0,
VJf1cbb5935e02fd8fc6f1a3fb230b0a298fc62962,4919,0,15:12:00,20240210,0,FMAN-SN12AOF,,,0,53.48814010620117,-2.224395990371704,47.0,0.0,0.0,5,,2,1707579142,0,0,0,
,,0,,,0,138_-_BJ11_DTK,,,0,51.5063591003418,0.24924300611019135,359.0,0.0,0.0,0,,2,1707546022,0,0,0,
,,0,,,0,FMAN-SN14_TTJ,,,0,53.490291595458984,-2.0975499153137207,359.0,0.0,0.0,0,,2,1707579165,0,0,0,
,,0,,,0,FMAN-SN13CMF,,,0,53.54205322265625,-2.1165831089019775,359.0,0.0,0.0,0,,2,1707508824,0,0,0,
,,0,,,0,BUS_32,,,0,52.73741149902344,-2.1054298877716064,359.0,0.0,0.0,0,,2,1707499095,0,0,0,
,,0,,,0,320_YN57_FWH,,,0,52.8303108215332,1.383489966392517,359.0,0.0,0.0,0,,2,1707492278,0,0,0,
,,0,,,0,222-RX22_SKU,,,0,52.90135955810547,1.1016449928283691,359.0,0.0,0.0,0,,2,1707493847,0,0,0,
VJ779dc5f7d77de5b7d87136fb17c36c9a8dca9912,7264,0,14:30:00,20240210,0,128-PC23_SAN,,,0,52.68230056762695,1.261438012123108,191.0,0.0,0.0,40,,2,1707579170,0,0,0,
VJ87d8a09511617f2d14bedcd3d832c644d13018fb,66406,0,15:20:00,20240210,0,129,,,0,51.47357177734375,-0.6153079867362976,359.0,0.0,0.0,8,,2,1707579168,0,0,0,
,,0,,,0,BUS_30,,,0,52.75655746459961,-2.1074509620666504,359.0,0.0,0.0,0,,2,1707497248,0,0,0,
,,0,,,0,134_-_YJ57_XWM,,,0,53.021724700927734,-2.175091028213501,56.0,0.0,0.0,0,,2,1707579151,0,0,0,
,,0,,,0,141_-_YJ55_BHV,,,0,53.15245056152344,-2.510499954223633,139.0,0.0,0.0,0,,2,1707579155,0,0,0,
,,0,,,0,148_-_MX08_DGE,,,0,52.83253479003906,-2.0605180263519287,14.0,0.0,0.0,0,,2,1707579147,0,0,0,
,,0,,,0,CAR_Spares,,,0,51.637569427490234,-0.7548329830169678,359.0,0.0,0.0,0,,2,1707506743,0,0,0,
,,0,,,0,151_-_YJ67_GBY,,,0,53.03656005859375,-2.136934995651245,313.0,0.0,0.0,0,,2,1707579162,0,0,0,
,,0,,,0,152_-_MX60_GWZ,,,0,53.19998550415039,-2.3565549850463867,154.0,0.0,0.0,0,,2,1707579143,0,0,0,
,,0,,,0,157_-_YJ57_XWA,,,0,53.02637481689453,-2.176476001739502,162.0,0.0,0.0,0,,2,1707579142,0,0,0,
,,0,,,0,158_-_YJ57_XWB,,,0,53.02677917480469,-2.1768980026245117,333.0,0.0,0.0,0,,2,1707579142,0,0,0,
,,0,,,0,159_-_YJ57_XWC,,,0,53.116729736328125,-2.176024913787842,95.0,0.0,0.0,0,,2,1707579150,0,0,0,
,,0,,,0,166_-_YJ09_MLN,,,0,52.80913543701172,-2.117845058441162,359.0,0.0,0.0,0,,2,1707559867,0,0,0,
,,0,,,0,160_-_YJ57_XVZ,,,0,53.00752639770508,-2.1892099380493164,328.0,0.0,0.0,0,,2,1707579146,0,0,0,
,,0,,,0,161_-_YJ57_XVV,,,0,52.98763656616211,-2.222321033477783,359.0,0.0,0.0,0,,2,1707579153,0,0,0,
,,0,,,0,163_-_YJ09_MLL,,,0,52.68147277832031,-1.8303780555725098,221.0,0.0,0.0,0,,2,1707579139,0,0,0,
,,0,,,0,167_-_YJ09_MLO,,,0,52.86968994140625,-1.9402929544448853,200.0,0.0,0.0,0,,2,1707579133,0,0,0,
,,0,,,0,196_-_FJ58_HYV,,,0,52.79940414428711,-2.104224920272827,117.0,0.0,0.0,0,,2,1707579154,0,0,0,
,,0,,,0,25_-_YT11_LTF,,,0,52.05931854248047,1.1549229621887207,359.0,0.0,0.0,0,,2,1707503822,0,0,0,
,,0,,,0,22_-_MM13_OCH,,,0,53.14430236816406,-2.3651130199432373,243.0,0.0,0.0,0,,2,1707579156,0,0,0,
VJ3bd54d4a95b6a89d6980d827624722b0217fd2cc,54420,0,14:00:00,20240210,0,FESX-63370,,,0,51.57258987426758,0.5098879933357239,1.0,0.0,0.0,6,,2,1707574147,0,0,0,
,,0,,,0,41_-_YX09_FML,,,0,53.30265808105469,-2.37549090385437,359.0,0.0,0.0,0,,2,1707463714,0,0,0,
VJd247775e03c27a423371a2636df42b164e6bbb69,77363,0,13:35:00,20240210,0,FESX-32628,,,0,51.88698959350586,0.9021559953689575,359.0,0.0,0.0,7,,2,1707572754,0,0,0,
VJ1822fff367a7f35eb2eff77965cd2833e6ce71c4,48843,0,13:36:00,20240210,0,7631,,,0,55.12738037109375,-1.5071099996566772,359.0,0.0,0.0,2,,2,1707573060,0,0,0,
,,0,,,0,2982,,,0,51.619041442871094,-0.7683129906654358,359.0,0.0,0.0,0,,2,1707520606,0,0,0,
,,0,,,0,505_HF54_HHA,,,0,52.82080841064453,1.3901729583740234,359.0,0.0,0.0,0,,2,1707499444,0,0,0,
,,0,,,0,100_-_YX11_CTZ,,,0,53.022911071777344,-2.175626039505005,359.0,0.0,0.0,0,,2,1707460569,0,0,0,
,,0,,,0,110_-_DG64_BUS,,,0,53.0011100769043,-2.1267130374908447,359.0,0.0,0.0,0,,2,1707503364,0,0,0,
,,0,,,0,108_-_YX63_GYG,,,0,53.068973541259766,-2.042289972305298,182.0,0.0,0.0,0,,2,1707579157,0,0,0,
,,0,,,0,116_-_YJ11_OGZ,,,0,52.97800827026367,-2.1051979064941406,359.0,0.0,0.0,0,,2,1707506968,0,0,0,
VJa444f4e5d3271e89b5278eed31f432fe7fd38275,37955,0,14:05:00,20240210,0,0780,,,0,53.744773864746094,-0.34697601199150085,359.0,0.0,0.0,35,,2,1707576328,0,1,0,
,,0,,,0,5515LJ,,,0,53.959930419921875,-1.2937159538269043,359.0,0.0,0.0,0,,2,1707498794,0,0,0,
,,0,,,0,130_-_YJ60_KFF,,,0,53.26066970825195,-2.5133180618286133,359.0,0.0,0.0,0,,2,1707507182,0,0,0,
,,0,,,0,24_-_YN62_AOH,,,0,53.00471115112305,-2.219165086746216,136.0,0.0,0.0,0,,2,1707579146,0,0,0,
,,0,,,0,26_-_T26_TYB,,,0,53.00078582763672,-2.201190948486328,83.0,0.0,0.0,0,,2,1707579156,0,0,0,
VJ8d3cf56b8d0acecafa9ef39b18b438b92e34c863,7985,0,13:20:00,20240210,0,BV66VGA,BV66VGA,,0,51.460235595703125,0.15363100171089172,180.0,0.0,0.0,2,,2,1707573142,0,0,0,
,,0,,,0,283,,,0,53.358489990234375,-2.0097310543060303,359.0,0.0,0.0,0,,2,1707579152,0,0,0,
VJ03ebd532dea986fd8aa737afddcff9375a2b8251,4546,0,09:40:00,20240210,0,522__-SK07_CFX,,,0,52.90263366699219,1.104511022567749,359.0,0.0,0.0,14,,2,1707559507,0,0,0,
,,0,,,0,471,,,0,50.85742950439453,-0.17003999650478363,359.0,0.0,0.0,0,,2,1707504678,0,0,0,
,,0,,,0,109_-_WA09_FHL,,,0,53.260616302490234,-2.513566017150879,359.0,0.0,0.0,0,,2,1707504933,0,0,0,
,,0,,,0,SGF_965,,,0,52.90043258666992,1.1010570526123047,359.0,0.0,0.0,0,,2,1707497301,0,0,0,
,,0,,,0,284,,,0,53.26045227050781,-2.087925910949707,20.0,0.0,0.0,0,,2,1707578935,0,0,0,
,,0,,,0,287,,,0,53.36551284790039,-2.0018680095672607,267.0,0.0,0.0,0,,2,1707579161,0,0,0,
VJ43374bd33eeb854d948030683c86aba545c87faa,86273,0,12:40:00,20240210,0,FBRI-47670,,,0,51.093082427978516,-2.7307329177856445,153.0,0.0,0.0,34,,2,1707571165,0,0,0,
,,0,,,0,289,,,0,53.36564636230469,-2.0020439624786377,71.0,0.0,0.0,0,,2,1707579158,0,0,0,
,,0,,,0,BUS_4,,,0,52.637027740478516,-2.4464728832244873,359.0,0.0,0.0,0,,2,1707499491,0,0,0,
VJbc7546a36c3b989a58b62f15a428d5a2fa7c5c51,4574,0,15:08:00,20240210,0,661,,,0,51.52659606933594,-0.7575139999389648,246.0,0.0,0.0,23,,2,1707579157,0,0,0,
VJa3e2735f6aefc929d111a9cda674bafff7aa8cb6,67399,0,15:20:00,20240210,0,32318,,,0,52.61252212524414,-1.6847779750823975,296.0,0.0,0.0,15,,2,1707579156,0,0,0,
,,0,,,0,117-YN06_JWC,,,0,52.905799865722656,1.0906460285186768,359.0,0.0,0.0,0,,2,1707503373,0,0,0,
,,0,,,0,YJ61MOU,,,0,53.44957733154297,-2.7216908931732178,359.0,0.0,0.0,0,,2,1707556697,0,0,0,
VJ999add95cba0b61848e55e76ebaacf546b3a8967,8835,0,15:27:00,20240210,0,7617,,,0,55.11088180541992,-1.5041550397872925,359.0,0.0,0.0,7,,2,1707579149,0,0,0,
VJ1fb22865d141f5a5e68f298b0f3d11d062d1d994,48845,0,15:30:00,20240210,0,7625,,,0,54.979225158691406,-1.609339952468872,358.0,0.0,0.0,3,,2,1707579142,0,0,0,
,,0,,,0,150_-_MX60_BXC,,,0,53.11791229248047,-2.4749948978424072,359.0,0.0,0.0,0,,2,1707548928,0,0,0,
VJ96044e022fdc40b4986bcbd41ca8da64b462066e,4577,0,15:30:00,20240210,0,FESX-33414,,,0,51.5684928894043,0.45723000168800354,263.0,0.0,0.0,1,,2,1707579161,0,0,0,
VJba4f460db7655cfa6b17b7a1d223411d68709750,61707,0,16:20:00,20240209,0,X57XAW,,,0,52.68852233886719,-0.4745500087738037,359.0,0.0,0.0,19,,2,1707499508,0,0,0,
,,0,,,0,0773,,,0,53.9293098449707,-0.7798010110855103,359.0,0.0,0.0,0,,2,1707468971,0,1,0,
VJ53c6fdaadd79fb753450e72c4e1f2135961bc463,54226,0,07:09:00,20240210,0,FESX-69519,,,0,51.87999725341797,0.7876549959182739,105.0,0.0,0.0,21,,2,1707550398,0,0,0,
,,0,,,0,297,,,0,53.257999420166016,-2.125251054763794,359.0,0.0,0.0,0,,2,1707578681,0,0,0,
,,0,,,0,FBRI-67097,,,0,51.37816619873047,-2.3571279048919678,359.0,0.0,0.0,0,,2,1707578855,0,0,0,
,,0,,,0,121_-_YY66_PDK,,,0,53.0225944519043,-2.1751019954681396,359.0,0.0,0.0,0,,2,1707574566,0,0,0,
,,0,,,0,169_-_YJ16_DSO,,,0,52.59054946899414,-2.12644100189209,359.0,0.0,0.0,0,,2,1707501225,0,0,0,
,,0,,,0,18,,,0,51.93617248535156,-0.9781984686851501,0.0,0.0,0.0,0,,2,1707501180,0,0,0,
,,0,,,0,156_-_MX11_EHC,,,0,53.18564987182617,-2.4475200176239014,174.0,0.0,0.0,0,,2,1707579152,0,0,0,
,,0,,,0,2_-_YX65_RWL,,,0,52.677513122558594,-2.01842999458313,311.0,0.0,0.0,0,,2,1707579145,0,0,0,
VJ9ba7079d359e57cc17cd37e9422063805da97f5a,5675,0,16:15:00,20240209,0,504_HF54_HFP,,,0,52.78536605834961,1.5995030403137207,359.0,0.0,0.0,28,,2,1707498607,0,0,0,
,,0,,,0,30_-_SL64_JGF,,,0,53.23124694824219,-2.5946109294891357,167.0,0.0,0.0,0,,2,1707579161,0,0,0,
,,0,,,0,34_-_KX57_FMA,,,0,53.0503044128418,-2.5019218921661377,148.0,0.0,0.0,0,,2,1707579152,0,0,0,
,,0,,,0,35_-_KX57_FMD,,,0,53.25807189941406,-2.1252710819244385,152.0,0.0,0.0,0,,2,1707579145,0,0,0,
,,0,,,0,43_-_YX09_FMO,,,0,53.26050567626953,-2.5118770599365234,182.0,0.0,0.0,0,,2,1707579161,0,0,0,
,,0,,,0,519-BV21_OOB,,,0,52.870811462402344,1.32805597782135,10.0,0.0,0.0,0,,2,1707579155,0,0,0,
VJ1049b484edadb57cf460609c3ba470a225a775da,4546,0,15:20:00,20240210,0,520-BV21_OOC,,,0,52.91425323486328,1.12357497215271,256.0,0.0,0.0,9,,2,1707579148,0,0,0,
VJ620f523f4721a5e5cba0fd4a9e87914068b64b66,17793,0,14:45:00,20240210,0,521-BV21_OOD,,,0,52.94192886352539,1.208016037940979,359.0,0.0,0.0,21,,2,1707579144,0,0,0,
VJ0797560fbf328765a18b89eb76d950a3e79555d3,17794,0,15:25:00,20240210,0,524-BV22_HBN,,,0,52.838863372802734,1.3939850330352783,12.0,0.0,0.0,5,,2,1707579148,0,0,0,
,,0,,,0,BK13_NZM,,,0,53.52574920654297,-2.078216075897217,294.0,0.0,0.0,0,,2,1707491954,0,0,0,
VJ1e1a68327ca1a42651bdca77fe4ddcf008c15979,51022,0,15:05:00,20240210,0,529-BV72_KKD,,,0,52.657379150390625,1.3064630031585693,359.0,0.0,0.0,18,,2,1707579167,0,0,0,
,,0,,,0,531-BV23_NUU,,,0,52.820499420166016,1.3904199600219727,359.0,0.0,0.0,0,,2,1707579138,0,0,0,
,,0,,,0,531_-_YY64_GWF,,,0,53.145103454589844,-2.5021259784698486,345.0,0.0,0.0,0,,2,1707579152,0,0,0,
